0.83,0.87,0.86,0.93,0.84,0.96,0.85,0.92,0.94,0.94,0.92,0.92,0.91,0.96,0.89,0.91,0.93,0.96,0.99,0.95,0.97,0.81,0.95,0.96,0.93,0.71,0.85,0.92,0.86,0.96,0.86,0.84,0.76,0.92,0.78,0.86,0.97,0.82,0.88,0.99,0.91,0.99,0.95,0.88,0.91,0.99,0.89,0.8,0.88,0.94,0.93,0.95,0.96,0.88,0.88,0.88,0.71,0.91,0.92,0.91,0.92,0.88,0.94,0.97,0.9,0.98,0.64,0.88,0.9,0.92,0.82,0.92,0.89,0.92,0.76,0.97,0.98,0.84,0.99,0.8,0.83,0.93,0.87,0.79,0.85,0.78,0.98,0.94,0.94,0.96,0.93,0.92,0.83,0.99,0.9,0.91,0.99,0.97,0.99,0.88,100,-1,13,11.69
0.83,0.87,0.86,0.93,0.84,0.96,0.85,0.92,0.94,0.94,0.92,0.92,0.91,0.96,0.89,0.91,0.93,0.96,0.99,0.95,0.97,0.81,0.95,0.96,0.93,0.71,0.85,0.92,0.86,0.96,0.86,0.84,0.76,0.92,0.78,0.86,0.97,0.82,0.88,0.99,0.91,0.99,0.95,0.88,0.91,0.99,0.89,0.8,0.88,0.94,0.93,0.95,0.96,0.88,0.88,0.88,0.71,0.91,0.92,0.91,0.92,0.88,0.94,0.97,0.9,0.98,0.64,0.88,0.9,0.92,0.82,0.92,0.89,0.92,0.76,0.97,0.98,0.84,0.99,0.8,0.83,0.93,0.87,0.79,0.85,0.78,0.98,0.94,0.94,0.96,0.93,0.92,0.83,0.99,0.9,0.91,0.99,0.97,0.99,0.88,100,-1,13,11.69
0.83,0.87,0.86,0.93,0.84,0.96,0.85,0.92,0.94,0.94,0.92,0.92,0.91,0.96,0.89,0.91,0.93,0.96,0.99,0.95,0.97,0.81,0.95,0.96,0.93,0.71,0.85,0.92,0.86,0.96,0.86,0.84,0.76,0.92,0.78,0.86,0.97,0.82,0.88,0.99,0.91,0.99,0.95,0.88,0.91,0.99,0.89,0.8,0.88,0.94,0.93,0.95,0.96,0.88,0.88,0.88,0.71,0.91,0.92,0.91,0.92,0.88,0.94,0.97,0.9,0.98,0.64,0.88,0.9,0.92,0.82,0.92,0.89,0.92,0.76,0.97,0.98,0.84,0.99,0.8,0.83,0.93,0.87,0.79,0.85,0.78,0.98,0.94,0.94,0.96,0.93,0.92,0.83,0.99,0.9,0.91,0.99,0.97,0.99,0.88,100,-1,13,11.69
0.83,0.87,0.86,0.93,0.84,0.96,0.85,0.92,0.94,0.94,0.92,0.92,0.91,0.96,0.89,0.91,0.93,0.96,0.99,0.95,0.97,0.81,0.95,0.96,0.93,0.71,0.85,0.92,0.86,0.96,0.86,0.84,0.76,0.92,0.78,0.86,0.97,0.82,0.88,0.99,0.91,0.99,0.95,0.88,0.91,0.99,0.89,0.8,0.88,0.94,0.93,0.95,0.96,0.88,0.88,0.88,0.71,0.91,0.92,0.91,0.92,0.88,0.94,0.97,0.9,0.98,0.64,0.88,0.9,0.92,0.82,0.92,0.89,0.92,0.76,0.97,0.98,0.84,0.99,0.8,0.83,0.93,0.87,0.79,0.85,0.78,0.98,0.94,0.94,0.96,0.93,0.92,0.83,0.99,0.9,0.91,0.99,0.97,0.99,0.88,100,-1,13,11.69
0.83,0.87,0.86,0.93,0.84,0.96,0.85,0.92,0.94,0.94,0.92,0.92,0.91,0.96,0.89,0.91,0.93,0.96,0.99,0.95,0.97,0.81,0.95,0.96,0.93,0.71,0.85,0.92,0.86,0.96,0.86,0.84,0.76,0.92,0.78,0.86,0.97,0.82,0.88,0.99,0.91,0.99,0.95,0.88,0.91,0.99,0.89,0.8,0.88,0.94,0.93,0.95,0.96,0.88,0.88,0.88,0.71,0.91,0.92,0.91,0.92,0.88,0.94,0.97,0.9,0.98,0.64,0.88,0.9,0.92,0.82,0.92,0.89,0.92,0.76,0.97,0.98,0.84,0.99,0.8,0.83,0.93,0.87,0.79,0.85,0.78,0.98,0.94,0.94,0.96,0.93,0.92,0.83,0.99,0.9,0.91,0.99,0.97,0.99,0.88,100,-1,13,11.69
0.83,0.87,0.86,0.93,0.84,0.96,0.85,0.92,0.94,0.94,0.92,0.92,0.91,0.96,0.89,0.91,0.93,0.96,0.99,0.95,0.97,0.81,0.95,0.96,0.93,0.71,0.85,0.92,0.86,0.96,0.86,0.84,0.76,0.92,0.78,0.86,0.97,0.82,0.88,0.99,0.91,0.99,0.95,0.88,0.91,0.99,0.89,0.8,0.88,0.94,0.93,0.95,0.96,0.88,0.88,0.88,0.71,0.91,0.92,0.91,0.92,0.88,0.94,0.97,0.9,0.98,0.64,0.88,0.9,0.92,0.82,0.92,0.89,0.92,0.76,0.97,0.98,0.84,0.99,0.8,0.83,0.93,0.87,0.79,0.85,0.78,0.98,0.94,0.94,0.96,0.93,0.92,0.83,0.99,0.9,0.91,0.99,0.97,0.99,0.88,100,-1,13,11.69
0.83,0.87,0.86,0.93,0.84,0.96,0.85,0.92,0.94,0.94,0.92,0.92,0.91,0.96,0.89,0.91,0.93,0.96,0.99,0.95,0.97,0.81,0.95,0.96,0.93,0.71,0.85,0.92,0.86,0.96,0.86,0.84,0.76,0.92,0.78,0.86,0.97,0.82,0.88,0.99,0.91,0.99,0.95,0.88,0.91,0.99,0.89,0.8,0.88,0.94,0.93,0.95,0.96,0.88,0.88,0.88,0.71,0.91,0.92,0.91,0.92,0.88,0.94,0.97,0.9,0.98,0.64,0.88,0.9,0.92,0.82,0.92,0.89,0.92,0.76,0.97,0.98,0.84,0.99,0.8,0.83,0.93,0.87,0.79,0.85,0.78,0.98,0.94,0.94,0.96,0.93,0.92,0.83,0.99,0.9,0.91,0.99,0.97,0.99,0.88,100,-1,13,11.69
0.83,0.87,0.86,0.93,0.84,0.96,0.85,0.92,0.94,0.94,0.92,0.92,0.91,0.96,0.89,0.91,0.93,0.96,0.99,0.95,0.97,0.81,0.95,0.96,0.93,0.71,0.85,0.92,0.86,0.96,0.86,0.84,0.76,0.92,0.78,0.86,0.97,0.82,0.88,0.99,0.91,0.99,0.95,0.88,0.91,0.99,0.89,0.8,0.88,0.94,0.93,0.95,0.96,0.88,0.88,0.88,0.71,0.91,0.92,0.91,0.92,0.88,0.94,0.97,0.9,0.98,0.64,0.88,0.9,0.92,0.82,0.92,0.89,0.92,0.76,0.97,0.98,0.84,0.99,0.8,0.83,0.93,0.87,0.79,0.85,0.78,0.98,0.94,0.94,0.96,0.93,0.92,0.83,0.99,0.9,0.91,0.99,0.97,0.99,0.88,100,-1,13,11.69
0.83,0.87,0.86,0.93,0.84,0.96,0.85,0.92,0.94,0.94,0.92,0.92,0.91,0.96,0.89,0.91,0.93,0.96,0.99,0.95,0.97,0.81,0.95,0.96,0.93,0.71,0.85,0.92,0.86,0.96,0.86,0.84,0.76,0.92,0.78,0.86,0.97,0.82,0.88,0.99,0.91,0.99,0.95,0.88,0.91,0.99,0.89,0.8,0.88,0.94,0.93,0.95,0.96,0.88,0.88,0.88,0.71,0.91,0.92,0.91,0.92,0.88,0.94,0.97,0.9,0.98,0.64,0.88,0.9,0.92,0.82,0.92,0.89,0.92,0.76,0.97,0.98,0.84,0.99,0.8,0.83,0.93,0.87,0.79,0.85,0.78,0.98,0.94,0.94,0.96,0.93,0.92,0.83,0.99,0.9,0.91,0.99,0.97,0.99,0.88,100,-1,13,11.69
0.83,0.87,0.86,0.93,0.84,0.96,0.85,0.92,0.94,0.94,0.92,0.92,0.91,0.96,0.89,0.91,0.93,0.96,0.99,0.95,0.97,0.81,0.95,0.96,0.93,0.71,0.85,0.92,0.86,0.96,0.86,0.84,0.76,0.92,0.78,0.86,0.97,0.82,0.88,0.99,0.91,0.99,0.95,0.88,0.91,0.99,0.89,0.8,0.88,0.94,0.93,0.95,0.96,0.88,0.88,0.88,0.71,0.91,0.92,0.91,0.92,0.88,0.94,0.97,0.9,0.98,0.64,0.88,0.9,0.92,0.82,0.92,0.89,0.92,0.76,0.97,0.98,0.84,0.99,0.8,0.83,0.93,0.87,0.79,0.85,0.78,0.98,0.94,0.94,0.96,0.93,0.92,0.83,0.99,0.9,0.91,0.99,0.97,0.99,0.88,100,-1,13,11.69
0.83,0.87,0.86,0.93,0.84,0.96,0.85,0.92,0.94,0.94,0.92,0.92,0.91,0.96,0.89,0.91,0.93,0.96,0.99,0.95,0.97,0.81,0.95,0.96,0.93,0.71,0.85,0.92,0.86,0.96,0.86,0.84,0.76,0.92,0.78,0.86,0.97,0.82,0.88,0.99,0.91,0.99,0.95,0.88,0.91,0.99,0.89,0.8,0.88,0.94,0.93,0.95,0.96,0.88,0.88,0.88,0.71,0.91,0.92,0.91,0.92,0.88,0.94,0.97,0.9,0.98,0.64,0.88,0.9,0.92,0.82,0.92,0.89,0.92,0.76,0.97,0.98,0.84,0.99,0.8,0.83,0.93,0.87,0.79,0.85,0.78,0.98,0.94,0.94,0.96,0.93,0.92,0.83,0.99,0.9,0.91,0.99,0.97,0.99,0.88,100,-1,13,11.69
0.83,0.87,0.86,0.93,0.84,0.96,0.85,0.92,0.94,0.94,0.92,0.92,0.91,0.96,0.89,0.91,0.93,0.96,0.99,0.95,0.97,0.81,0.95,0.96,0.93,0.71,0.85,0.92,0.86,0.96,0.86,0.84,0.76,0.92,0.78,0.86,0.97,0.82,0.88,0.99,0.91,0.99,0.95,0.88,0.91,0.99,0.89,0.8,0.88,0.94,0.93,0.95,0.96,0.88,0.88,0.88,0.71,0.91,0.92,0.91,0.92,0.88,0.94,0.97,0.9,0.98,0.64,0.88,0.9,0.92,0.82,0.92,0.89,0.92,0.76,0.97,0.98,0.84,0.99,0.8,0.83,0.93,0.87,0.79,0.85,0.78,0.98,0.94,0.94,0.96,0.93,0.92,0.83,0.99,0.9,0.91,0.99,0.97,0.99,0.88,100,-1,13,11.69
0.83,0.87,0.86,0.93,0.84,0.96,0.85,0.92,0.94,0.94,0.92,0.92,0.91,0.96,0.89,0.91,0.93,0.96,0.99,0.95,0.97,0.81,0.95,0.96,0.93,0.71,0.85,0.92,0.86,0.96,0.86,0.84,0.76,0.92,0.78,0.86,0.97,0.82,0.88,0.99,0.91,0.99,0.95,0.88,0.91,0.99,0.89,0.8,0.88,0.94,0.93,0.95,0.96,0.88,0.88,0.88,0.71,0.91,0.92,0.91,0.92,0.88,0.94,0.97,0.9,0.98,0.64,0.88,0.9,0.92,0.82,0.92,0.89,0.92,0.76,0.97,0.98,0.84,0.99,0.8,0.83,0.93,0.87,0.79,0.85,0.78,0.98,0.94,0.94,0.96,0.93,0.92,0.83,0.99,0.9,0.91,0.99,0.97,0.99,0.88,100,-1,13,11.69
0.83,0.87,0.86,0.93,0.84,0.96,0.85,0.92,0.94,0.94,0.92,0.92,0.91,0.96,0.89,0.91,0.93,0.96,0.99,0.95,0.97,0.81,0.95,0.96,0.93,0.71,0.85,0.92,0.86,0.96,0.86,0.84,0.76,0.92,0.78,0.86,0.97,0.82,0.88,0.99,0.91,0.99,0.95,0.88,0.91,0.99,0.89,0.8,0.88,0.94,0.93,0.95,0.96,0.88,0.88,0.88,0.71,0.91,0.92,0.91,0.92,0.88,0.94,0.97,0.9,0.98,0.64,0.88,0.9,0.92,0.82,0.92,0.89,0.92,0.76,0.97,0.98,0.84,0.99,0.8,0.83,0.93,0.87,0.79,0.85,0.78,0.98,0.94,0.94,0.96,0.93,0.92,0.83,0.99,0.9,0.91,0.99,0.97,0.99,0.88,100,-1,13,11.69
